Player;Position;Country;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Cmp;PassesAtt;Cmp%;TotDist;PrgDist;Cmp;ShortAtt;Cmp%;Cmp2;MediumAtt;Cmp%;Cmp3;LongAtt;Cmp%;Ast;xA;A-xA;KP;PPA;CrsPA;ProgOne;Live;Dead;FK;TB;Press;Sw;Crs;CK;In;Out;Str;Ground;Low;High;Left;Right;Head;TI;Other;Cmp4;Off;Out;Blocks;Tkl;TklW;Def3rd;Mid3rd;Att3rd;Tkl;Tkl%;Past;Press;Succ;Succ%;Def3rd2;Mid3rd2;Att3rd2;Blocks2;Sh2;ShSv;Pass;Int;TklInt;Clr2;Err;Touches;TouchesDefPen;TouchesDef 3rd;TouchesMid3rd;TouchesAtt3rd;TouchAttPen;Live2;Succ2;Succ%2;Pl;Megs;Carries;TotDist;PrgDist;Prog2;01-Mar;CPA;Mis;Dis;Targ;Rec;Rec%;Prog;MP;Min;Mn/MP;Min%;Starts;Mn/Start;Compl;Subs;Mn/Sub;unSub;PPM;onG;onGA;/-;/-90;On-Off;onxG;onxGA;xG/-;xG/-90;On-Off;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs2;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Salary
Patrick van Aanholt;DF;Netherlands;30;1990;3.3;0;4;0;0.0;1.21;0.00;0.00;0;21.6;0;0;0.3;0.3;0.07;-0.3;-0.3;140;178;78.7;2367;709;72;81;88.9;53;69;76.8;12;19;63.2;0;0.4;-0.4;3;2;0;10;155;23;0;1;10;4;7;0;0;0;0;119;36;23;124;29;1;23;1;140;0;3;4;5;4;4;1;0;0;0.0;2;44;16;36.4;16;12;16;7;1;0;6;4;9;1;0;201;7;44;91;82;9;178;1;100.0;1;0;130;650;264;14;10;1;2;2;155;129;83.2;19;4;297;74;82.5;4;74;1;0;0;0;2.25;6;2;4;1.21;1.21;7.5;2.4;5.1;1.55;0.95;0;0;0;4;1;1;7;4;0;0;0;27;1;2;33.3;2652000
Francesco Acerbi;DF;Italy;32;1988;2.6;0;1;0;0.0;0.39;0.00;0.00;0;8.1;0;0;0.0;0.0;0.04;0.0;0.0;160;168;95.2;3085;886;69;70;98.6;61;63;96.8;27;32;84.4;1;0.3;0.7;3;0;0;14;161;7;3;0;11;4;0;0;0;0;0;136;11;21;140;20;5;0;0;160;1;1;0;1;1;1;0;0;1;50.0;1;21;7;33.3;14;6;1;4;1;0;3;9;10;9;0;190;20;78;114;14;2;184;1;100.0;1;0;120;753;423;18;7;0;0;0;143;139;97.2;0;3;232;77;32.2;1;120;1;2;56;4;3.00;5;1;4;1.55;0.63;3.8;1.8;2.0;0.77;0.20;0;0;0;0;3;0;0;1;0;0;0;15;6;3;66.7;800000
Che Adams;FW;Scotland;24;1996;2.4;0;7;1;14.3;2.96;0.42;0.00;0.00;15.4;0;0;0.7;0.7;0.10;-0.7;-0.7;42;52;80.8;774;120;21;22;95.5;12;18;66.7;7;8;87.5;0;0.4;-0.4;2;3;1;4;51;1;0;0;15;4;1;0;0;0;0;32;11;9;3;45;1;0;1;42;0;1;2;1;1;0;0;1;0;0.0;2;38;10;26.3;5;18;15;1;1;0;0;3;4;1;0;69;1;4;24;45;13;68;3;100.0;3;0;49;306;84;6;1;0;3;2;88;46;52.3;16;3;213;71;78.9;2;84;0;1;45;0;0.33;1;4;-3;-1.27;0.31;3.2;2.4;0.7;0.31;-0.55;0;0;0;5;2;1;1;1;0;0;0;16;2;8;20.0;1809693
Arijan Ademi;MF;North Macedonia;29;1991;2.8;0;1;1;100.0;0.36;0.36;0.00;0.00;10.2;0;0;0.2;0.2;0.22;-0.2;-0.2;83;93;89.2;1300;344;43;47;91.5;34;39;87.2;5;6;83.3;0;0.0;0.0;1;0;0;9;92;1;1;0;20;2;1;0;0;0;0;79;6;8;13;73;5;0;0;83;0;1;0;4;3;1;3;0;3;37.5;5;40;17;42.5;16;21;3;5;1;0;4;10;14;1;0;122;6;44;71;15;3;121;3;100.0;3;0;88;518;291;9;2;2;6;4;85;79;92.9;2;3;251;84;93.0;3;84;1;0;0;0;0.00;2;8;-6;-2.15;-2.15;2.6;8.0;-5.4;-1.93;-3.27;0;0;0;1;4;1;1;3;0;0;0;17;2;2;50.0;600000
Manuel Akanji;DF;Switzerland;25;1995;5.7;0;5;0;0.0;0.88;0.00;0.00;0;13.1;0;0;0.4;0.4;0.08;-0.4;-0.4;261;287;90.9;5381;2015;81;85;95.3;140;145;96.6;35;48;72.9;0;0.0;0.0;1;1;0;18;273;14;12;0;36;6;0;0;0;0;0;237;12;38;90;183;9;2;0;261;1;3;6;13;8;10;3;0;7;63.6;4;65;20;30.8;37;27;1;11;6;1;5;10;23;20;0;345;53;207;162;11;5;331;2;100.0;2;0;204;1563;882;27;4;0;0;2;235;228;97.0;0;5;510;102;100.0;5;102;5;0;0;0;1.20;8;9;-1;-0.18;0;6.6;9.5;-2.9;-0.51;0;1;0;0;5;3;0;0;8;0;0;0;40;11;6;64.7;5800300
Nathan Aké;DF;Netherlands;25;1995;0.6;0;1;0;0.0;1.67;0.00;0.00;0;29.1;0;0;0.0;0.0;0.03;0.0;0.0;32;35;91.4;674;90;7;7;100.0;21;24;87.5;4;4;100.0;1;0.0;1.0;1;1;1;0;34;1;1;0;3;0;1;0;0;0;0;32;0;3;30;4;1;0;0;32;0;0;0;0;0;0;0;0;0;0.0;1;6;2;33.3;1;5;0;0;0;0;0;1;1;1;0;38;3;8;26;6;0;37;0;0;0;0;30;180;93;5;1;0;0;0;32;31;96.9;0;2;54;27;15.0;0;0;0;2;27;2;3.00;2;2;0;0.00;-1.18;0.9;0.5;0.4;0.65;-0.86;0;0;0;0;1;0;1;0;0;0;0;2;1;0;100.0;2412924
David Alaba;DF;Austria;28;1992;4.3;0;2;0;0.0;0.46;0.00;0.00;0;24.6;0;0;0.2;0.2;0.09;-0.2;-0.2;275;334;82.3;5686;1951;95;103;92.2;133;146;91.1;46;74;62.2;2;0.8;1.2;10;4;1;29;280;54;9;0;48;16;8;17;7;8;0;227;50;57;263;37;5;28;0;275;2;12;12;4;2;4;0;0;0;0.0;1;54;25;46.3;28;18;8;4;0;0;4;9;13;12;0;371;25;138;177;96;4;317;3;100.0;3;0;249;1652;860;27;13;0;4;3;264;249;94.3;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3;0;8;2;0;1;0;35;1;4;20.0;12000000
Jordi Alba;DF; Spain;31;1989;6.2;0;2;1;50.0;0.32;0.16;0.00;0.00;23.7;0;0;0.1;0.1;0.03;-0.1;-0.1;504;589;85.6;8597;2752;247;267;92.5;206;240;85.8;45;64;70.3;1;1.5;-0.5;11;16;6;43;514;75;18;1;40;7;21;0;0;0;0;434;92;63;442;74;14;57;0;504;1;6;14;12;6;3;9;0;6;85.7;1;70;28;40.0;23;43;4;13;0;0;13;9;21;9;0;640;16;121;328;215;11;568;1;14.3;1;1;425;1249;627;28;7;2;4;2;493;459;93.1;29;4;390;98;100.0;4;98;4;0;0;0;1.50;5;5;0;0.00;0;4.4;5.9;-1.5;-0.35;0;1;0;0;5;6;1;21;6;0;0;0;53;3;5;37.5;9048468
Thiago Alcántara;MF;Spain;29;1991;0.8;0;2;0;0.0;2.65;0.00;0.00;0;28.4;0;0;0.1;0.1;0.04;-0.1;-0.1;73;89;82.0;1593;285;26;32;81.3;32;34;94.1;15;22;68.2;0;0.1;-0.1;2;1;0;8;85;4;3;1;12;8;0;1;1;0;0;66;10;13;5;81;1;0;0;73;0;3;2;4;3;2;2;0;2;66.7;1;15;8;53.3;3;10;2;1;0;0;1;1;5;1;0;99;0;9;69;25;2;95;0;0;0;0;68;303;131;5;2;0;1;0;73;72;98.6;4;6;554;92;87.9;5;102;5;1;44;0;1.67;10;5;5;0.81;-1.56;13.5;5.3;8.2;1.33;-0.36;0;0;0;0;3;0;0;3;0;0;0;14;3;0;100.0;12064624
Toby Alderweireld;DF;Belgium;31;1989;4.0;0;2;0;0.0;0.50;0.00;0.00;0;19.6;0;0;0.0;0.0;0.02;0.0;0.0;267;306;87.3;5624;1494;95;101;94.1;132;142;93.0;40;58;69.0;0;0.0;0.0;0;3;0;10;293;13;10;0;17;14;0;0;0;0;0;235;14;57;48;236;14;3;0;267;2;1;3;3;0;1;2;0;2;66.7;1;15;5;33.3;4;10;1;9;7;0;2;1;4;12;0;336;38;133;206;15;2;324;0;0.0;1;0;246;1084;542;28;5;0;0;1;267;265;99.3;0;4;68;17;10.8;0;0;0;4;17;2;1.50;0;0;0;0.00;-1.12;1.7;0.1;1.6;2.11;0.83;1;0;0;2;2;0;0;0;0;0;0;30;8;10;44.4;4825849
